date,variable,region,value
2021-10-01,Portal,New Brunswick,0.0
2021-11-01,Portal,New Brunswick,507.0
2021-12-01,Portal,New Brunswick,0.0
2022-01-01,Portal,New Brunswick,0.0
2022-02-01,Portal,New Brunswick,2565.0
2022-03-01,Portal,New Brunswick,618.0
2020-10-01,Portal,Newfoundland and Labrador,0.0
2020-11-01,Portal,Newfoundland and Labrador,0.0
2020-12-01,Portal,Newfoundland and Labrador,0.0
2021-01-01,Portal,Newfoundland and Labrador,0.0
2021-02-01,Portal,Newfoundland and Labrador,0.0
2021-03-01,Portal,Newfoundland and Labrador,0.0
2021-04-01,Portal,Newfoundland and Labrador,0.0
2021-05-01,Portal,Newfoundland and Labrador,0.0
2021-06-01,Portal,Newfoundland and Labrador,0.0
2021-07-01,Portal,Newfoundland and Labrador,0.0
2021-08-01,Portal,Newfoundland and Labrador,0.0
2021-09-01,Portal,Newfoundland and Labrador,0.0
2021-10-01,Portal,Newfoundland and Labrador,0.0
2021-11-01,Portal,Newfoundland and Labrador,296.0
2021-12-01,Portal,Newfoundland and Labrador,0.0
2022-01-01,Portal,Newfoundland and Labrador,0.0
2022-02-01,Portal,Newfoundland and Labrador,478.0
2022-03-01,Portal,Newfoundland and Labrador,159.0
2020-10-01,Portal,Nova Scotia,0.0
2020-11-01,Portal,Nova Scotia,0.0
2020-12-01,Portal,Nova Scotia,0.0
2021-01-01,Portal,Nova Scotia,0.0
2021-02-01,Portal,Nova Scotia,0.0
2021-03-01,Portal,Nova Scotia,0.0
2021-04-01,Portal,Nova Scotia,0.0
2021-05-01,Portal,Nova Scotia,0.0
2021-06-01,Portal,Nova Scotia,0.0
2021-07-01,Portal,Nova Scotia,0.0
2021-08-01,Portal,Nova Scotia,0.0
2021-09-01,Portal,Nova Scotia,0.0
2021-10-01,Portal,Nova Scotia,0.0
2021-11-01,Portal,Nova Scotia,1202.0
2021-12-01,Portal,Nova Scotia,0.0
2022-01-01,Portal,Nova Scotia,0.0
2022-02-01,Portal,Nova Scotia,549.0
2022-03-01,Portal,Nova Scotia,750.0
2020-10-01,Portal,Ontario,0.0
2020-11-01,Portal,Ontario,0.0
2020-12-01,Portal,Ontario,0.0
2021-01-01,Portal,Ontario,0.0
2021-02-01,Portal,Ontario,0.0
2021-03-01,Portal,Ontario,0.0
2021-04-01,Portal,Ontario,0.0
2021-05-01,Portal,Ontario,0.0
2021-06-01,Portal,Ontario,0.0
2021-07-01,Portal,Ontario,111.0
2021-08-01,Portal,Ontario,11674.0
2021-09-01,Portal,Ontario,0.0
2021-10-01,Portal,Ontario,5746.0
2021-11-01,Portal,Ontario,12154.0
2021-12-01,Portal,Ontario,3.0
2022-01-01,Portal,Ontario,0.0
2022-02-01,Portal,Ontario,13784.0
2022-03-01,Portal,Ontario,5552.0
2020-10-01,Portal,Prince Edward Island,0.0
2020-11-01,Portal,Prince Edward Island,0.0
2020-12-01,Portal,Prince Edward Island,0.0
2021-01-01,Portal,Prince Edward Island,0.0
2021-02-01,Portal,Prince Edward Island,0.0
2021-03-01,Portal,Prince Edward Island,0.0
2021-04-01,Portal,Prince Edward Island,0.0
2021-05-01,Portal,Prince Edward Island,0.0
2021-06-01,Portal,Prince Edward Island,0.0
2021-07-01,Portal,Prince Edward Island,0.0
2021-08-01,Portal,Prince Edward Island,0.0
2021-09-01,Portal,Prince Edward Island,0.0
2021-10-01,Portal,Prince Edward Island,0.0
2021-11-01,Portal,Prince Edward Island,0.0
2021-12-01,Portal,Prince Edward Island,0.0
2022-01-01,Portal,Prince Edward Island,0.0
2022-02-01,Portal,Prince Edward Island,0.0
2022-03-01,Portal,Prince Edward Island,0.0
2020-10-01,Portal,Quebec,0.0
2020-11-01,Portal,Quebec,0.0
2020-12-01,Portal,Quebec,0.0
2021-01-01,Portal,Quebec,0.0
2021-02-01,Portal,Quebec,0.0
2021-03-01,Portal,Quebec,0.0
2021-04-01,Portal,Quebec,0.0
2021-05-01,Portal,Quebec,0.0
2021-06-01,Portal,Quebec,0.0
2021-07-01,Portal,Quebec,6016.0
2021-08-01,Portal,Quebec,0.0
2021-09-01,Portal,Quebec,0.0
2021-10-01,Portal,Quebec,-6016.0
2021-11-01,Portal,Quebec,0.0
2021-12-01,Portal,Quebec,0.0
2022-01-01,Portal,Quebec,20502.0
2022-02-01,Portal,Quebec,9261.0
2022-03-01,Portal,Quebec,3924.0
2020-10-01,Portal,Saskatchewan,0.0
2020-11-01,Portal,Saskatchewan,0.0
2020-12-01,Portal,Saskatchewan,0.0
2021-01-01,Portal,Saskatchewan,0.0
2021-02-01,Portal,Saskatchewan,0.0
2021-03-01,Portal,Saskatchewan,0.0
2021-04-01,Portal,Saskatchewan,0.0
2021-05-01,Portal,Saskatchewan,0.0
2021-06-01,Portal,Saskatchewan,0.0
2021-07-01,Portal,Saskatchewan,0.0
2021-08-01,Portal,Saskatchewan,0.0
2021-09-01,Portal,Saskatchewan,0.0
2021-10-01,Portal,Saskatchewan,5340.0
2021-11-01,Portal,Saskatchewan,0.0
2021-12-01,Portal,Saskatchewan,4869.0
2022-01-01,Portal,Saskatchewan,0.0
2022-02-01,Portal,Saskatchewan,0.0
2022-03-01,Portal,Saskatchewan,7102.0
